query_id,query,doc_id,topical_relevance_0_3,social_usefulness_0_3,credibility_0_3,freshness_0_3,final_manual_label_0_3,notes
Q01,Should I pay off credit card debt before investing?,sample-a1001,,,,,,
Q01,Should I pay off credit card debt before investing?,sample-a1002,,,,,,
Q01,Should I pay off credit card debt before investing?,sample-a1003,,,,,,
Q01,Should I pay off credit card debt before investing?,sample-a1004,,,,,,
Q01,Should I pay off credit card debt before investing?,sample-a1005,,,,,,
Q01,Should I pay off credit card debt before investing?,sample-a1013,,,,,,
Q01,Should I pay off credit card debt before investing?,sample-a1016,,,,,,
Q01,Should I pay off credit card debt before investing?,sample-a1031,,,,,,
Q01,Should I pay off credit card debt before investing?,sample-a1033,,,,,,
Q01,Should I pay off credit card debt before investing?,sample-a1034,,,,,,
Q01,Should I pay off credit card debt before investing?,sample-a1035,,,,,,
Q01,Should I pay off credit card debt before investing?,sample-a1036,,,,,,
Q01,Should I pay off credit card debt before investing?,sample-a1043,,,,,,
Q01,Should I pay off credit card debt before investing?,sample-a1044,,,,,,
Q02,Fastest way to get out of credit card debt,sample-a1001,,,,,,
Q02,Fastest way to get out of credit card debt,sample-a1002,,,,,,
Q02,Fastest way to get out of credit card debt,sample-a1003,,,,,,
Q02,Fastest way to get out of credit card debt,sample-a1004,,,,,,
Q02,Fastest way to get out of credit card debt,sample-a1005,,,,,,
Q02,Fastest way to get out of credit card debt,sample-a1006,,,,,,
Q02,Fastest way to get out of credit card debt,sample-a1010,,,,,,
Q02,Fastest way to get out of credit card debt,sample-a1011,,,,,,
Q02,Fastest way to get out of credit card debt,sample-a1030,,,,,,
Q02,Fastest way to get out of credit card debt,sample-a1031,,,,,,
Q02,Fastest way to get out of credit card debt,sample-a1033,,,,,,
Q02,Fastest way to get out of credit card debt,sample-a1034,,,,,,
Q02,Fastest way to get out of credit card debt,sample-a1035,,,,,,
Q02,Fastest way to get out of credit card debt,sample-a1036,,,,,,
Q03,How big should my emergency fund be?,sample-a1002,,,,,,
Q03,How big should my emergency fund be?,sample-a1006,,,,,,
Q03,How big should my emergency fund be?,sample-a1007,,,,,,
Q03,How big should my emergency fund be?,sample-a1008,,,,,,
Q03,How big should my emergency fund be?,sample-a1009,,,,,,
Q03,How big should my emergency fund be?,sample-a1012,,,,,,
Q03,How big should my emergency fund be?,sample-a1013,,,,,,
Q03,How big should my emergency fund be?,sample-a1027,,,,,,
Q03,How big should my emergency fund be?,sample-a1031,,,,,,
Q03,How big should my emergency fund be?,sample-a1033,,,,,,
Q03,How big should my emergency fund be?,sample-a1034,,,,,,
Q03,How big should my emergency fund be?,sample-a1037,,,,,,
Q03,How big should my emergency fund be?,sample-a1038,,,,,,
Q03,How big should my emergency fund be?,sample-a1039,,,,,,
Q03,How big should my emergency fund be?,sample-a1044,,,,,,
Q03,How big should my emergency fund be?,sample-a1045,,,,,,
Q03,How big should my emergency fund be?,sample-a1046,,,,,,
Q04,Where is the safest place to keep emergency savings?,sample-a1002,,,,,,
Q04,Where is the safest place to keep emergency savings?,sample-a1006,,,,,,
Q04,Where is the safest place to keep emergency savings?,sample-a1007,,,,,,
Q04,Where is the safest place to keep emergency savings?,sample-a1008,,,,,,
Q04,Where is the safest place to keep emergency savings?,sample-a1009,,,,,,
Q04,Where is the safest place to keep emergency savings?,sample-a1010,,,,,,
Q04,Where is the safest place to keep emergency savings?,sample-a1011,,,,,,
Q04,Where is the safest place to keep emergency savings?,sample-a1012,,,,,,
Q04,Where is the safest place to keep emergency savings?,sample-a1014,,,,,,
Q04,Where is the safest place to keep emergency savings?,sample-a1025,,,,,,
Q04,Where is the safest place to keep emergency savings?,sample-a1031,,,,,,
Q04,Where is the safest place to keep emergency savings?,sample-a1035,,,,,,
Q04,Where is the safest place to keep emergency savings?,sample-a1037,,,,,,
Q04,Where is the safest place to keep emergency savings?,sample-a1038,,,,,,
Q04,Where is the safest place to keep emergency savings?,sample-a1045,,,,,,
Q04,Where is the safest place to keep emergency savings?,sample-a1046,,,,,,
Q05,Is renting better than buying a home?,sample-a1001,,,,,,
Q05,Is renting better than buying a home?,sample-a1002,,,,,,
Q05,Is renting better than buying a home?,sample-a1005,,,,,,
Q05,Is renting better than buying a home?,sample-a1006,,,,,,
Q05,Is renting better than buying a home?,sample-a1007,,,,,,
Q05,Is renting better than buying a home?,sample-a1008,,,,,,
Q05,Is renting better than buying a home?,sample-a1010,,,,,,
Q05,Is renting better than buying a home?,sample-a1011,,,,,,
Q05,Is renting better than buying a home?,sample-a1018,,,,,,
Q05,Is renting better than buying a home?,sample-a1020,,,,,,
Q05,Is renting better than buying a home?,sample-a1021,,,,,,
Q05,Is renting better than buying a home?,sample-a1022,,,,,,
Q05,Is renting better than buying a home?,sample-a1025,,,,,,
Q05,Is renting better than buying a home?,sample-a1035,,,,,,
Q05,Is renting better than buying a home?,sample-a1036,,,,,,
Q05,Is renting better than buying a home?,sample-a1041,,,,,,
Q05,Is renting better than buying a home?,sample-a1044,,,,,,
Q06,When does refinancing a mortgage make sense?,sample-a1001,,,,,,
Q06,When does refinancing a mortgage make sense?,sample-a1002,,,,,,
Q06,When does refinancing a mortgage make sense?,sample-a1007,,,,,,
Q06,When does refinancing a mortgage make sense?,sample-a1008,,,,,,
Q06,When does refinancing a mortgage make sense?,sample-a1010,,,,,,
Q06,When does refinancing a mortgage make sense?,sample-a1011,,,,,,
Q06,When does refinancing a mortgage make sense?,sample-a1012,,,,,,
Q06,When does refinancing a mortgage make sense?,sample-a1013,,,,,,
Q06,When does refinancing a mortgage make sense?,sample-a1023,,,,,,
Q06,When does refinancing a mortgage make sense?,sample-a1024,,,,,,
Q06,When does refinancing a mortgage make sense?,sample-a1031,,,,,,
Q06,When does refinancing a mortgage make sense?,sample-a1032,,,,,,
Q06,When does refinancing a mortgage make sense?,sample-a1038,,,,,,
Q06,When does refinancing a mortgage make sense?,sample-a1043,,,,,,
Q06,When does refinancing a mortgage make sense?,sample-a1044,,,,,,
Q07,How are long term capital gains taxed?,sample-a1001,,,,,,
Q07,How are long term capital gains taxed?,sample-a1007,,,,,,
Q07,How are long term capital gains taxed?,sample-a1008,,,,,,
Q07,How are long term capital gains taxed?,sample-a1009,,,,,,
Q07,How are long term capital gains taxed?,sample-a1013,,,,,,
Q07,How are long term capital gains taxed?,sample-a1014,,,,,,
Q07,How are long term capital gains taxed?,sample-a1015,,,,,,
Q07,How are long term capital gains taxed?,sample-a1016,,,,,,
Q07,How are long term capital gains taxed?,sample-a1017,,,,,,
Q07,How are long term capital gains taxed?,sample-a1024,,,,,,
Q07,How are long term capital gains taxed?,sample-a1026,,,,,,
Q07,How are long term capital gains taxed?,sample-a1027,,,,,,
Q07,How are long term capital gains taxed?,sample-a1028,,,,,,
Q07,How are long term capital gains taxed?,sample-a1029,,,,,,
Q07,How are long term capital gains taxed?,sample-a1033,,,,,,
Q07,How are long term capital gains taxed?,sample-a1035,,,,,,
Q07,How are long term capital gains taxed?,sample-a1036,,,,,,
Q07,How are long term capital gains taxed?,sample-a1037,,,,,,
Q07,How are long term capital gains taxed?,sample-a1038,,,,,,
Q07,How are long term capital gains taxed?,sample-a1042,,,,,,
Q07,How are long term capital gains taxed?,sample-a1046,,,,,,
Q08,What paperwork do I need for investment taxes?,sample-a1010,,,,,,
Q08,What paperwork do I need for investment taxes?,sample-a1016,,,,,,
Q08,What paperwork do I need for investment taxes?,sample-a1017,,,,,,
Q08,What paperwork do I need for investment taxes?,sample-a1018,,,,,,
Q08,What paperwork do I need for investment taxes?,sample-a1024,,,,,,
Q08,What paperwork do I need for investment taxes?,sample-a1025,,,,,,
Q08,What paperwork do I need for investment taxes?,sample-a1026,,,,,,
Q08,What paperwork do I need for investment taxes?,sample-a1027,,,,,,
Q08,What paperwork do I need for investment taxes?,sample-a1028,,,,,,
Q08,What paperwork do I need for investment taxes?,sample-a1038,,,,,,
Q08,What paperwork do I need for investment taxes?,sample-a1039,,,,,,
Q08,What paperwork do I need for investment taxes?,sample-a1040,,,,,,
Q09,Are ETFs safer than picking individual stocks?,sample-a1001,,,,,,
Q09,Are ETFs safer than picking individual stocks?,sample-a1002,,,,,,
Q09,Are ETFs safer than picking individual stocks?,sample-a1003,,,,,,
Q09,Are ETFs safer than picking individual stocks?,sample-a1004,,,,,,
Q09,Are ETFs safer than picking individual stocks?,sample-a1005,,,,,,
Q09,Are ETFs safer than picking individual stocks?,sample-a1009,,,,,,
Q09,Are ETFs safer than picking individual stocks?,sample-a1010,,,,,,
Q09,Are ETFs safer than picking individual stocks?,sample-a1013,,,,,,
Q09,Are ETFs safer than picking individual stocks?,sample-a1014,,,,,,
Q09,Are ETFs safer than picking individual stocks?,sample-a1015,,,,,,
Q09,Are ETFs safer than picking individual stocks?,sample-a1018,,,,,,
Q09,Are ETFs safer than picking individual stocks?,sample-a1019,,,,,,
Q09,Are ETFs safer than picking individual stocks?,sample-a1020,,,,,,
Q09,Are ETFs safer than picking individual stocks?,sample-a1021,,,,,,
Q09,Are ETFs safer than picking individual stocks?,sample-a1022,,,,,,
Q09,Are ETFs safer than picking individual stocks?,sample-a1026,,,,,,
Q09,Are ETFs safer than picking individual stocks?,sample-a1035,,,,,,
Q09,Are ETFs safer than picking individual stocks?,sample-a1039,,,,,,
Q09,Are ETFs safer than picking individual stocks?,sample-a1041,,,,,,
Q09,Are ETFs safer than picking individual stocks?,sample-a1046,,,,,,
Q10,Lump sum investing versus dollar cost averaging,sample-a1001,,,,,,
Q10,Lump sum investing versus dollar cost averaging,sample-a1002,,,,,,
Q10,Lump sum investing versus dollar cost averaging,sample-a1003,,,,,,
Q10,Lump sum investing versus dollar cost averaging,sample-a1013,,,,,,
Q10,Lump sum investing versus dollar cost averaging,sample-a1014,,,,,,
Q10,Lump sum investing versus dollar cost averaging,sample-a1016,,,,,,
Q10,Lump sum investing versus dollar cost averaging,sample-a1018,,,,,,
Q10,Lump sum investing versus dollar cost averaging,sample-a1021,,,,,,
Q10,Lump sum investing versus dollar cost averaging,sample-a1022,,,,,,
Q10,Lump sum investing versus dollar cost averaging,sample-a1024,,,,,,
Q10,Lump sum investing versus dollar cost averaging,sample-a1039,,,,,,
Q10,Lump sum investing versus dollar cost averaging,sample-a1041,,,,,,
Q10,Lump sum investing versus dollar cost averaging,sample-a1042,,,,,,
Q10,Lump sum investing versus dollar cost averaging,sample-a1044,,,,,,
Q11,Which fees should I check before buying an ETF?,sample-a1001,,,,,,
Q11,Which fees should I check before buying an ETF?,sample-a1002,,,,,,
Q11,Which fees should I check before buying an ETF?,sample-a1003,,,,,,
Q11,Which fees should I check before buying an ETF?,sample-a1010,,,,,,
Q11,Which fees should I check before buying an ETF?,sample-a1018,,,,,,
Q11,Which fees should I check before buying an ETF?,sample-a1020,,,,,,
Q11,Which fees should I check before buying an ETF?,sample-a1023,,,,,,
Q11,Which fees should I check before buying an ETF?,sample-a1024,,,,,,
Q11,Which fees should I check before buying an ETF?,sample-a1025,,,,,,
Q11,Which fees should I check before buying an ETF?,sample-a1026,,,,,,
Q11,Which fees should I check before buying an ETF?,sample-a1027,,,,,,
Q11,Which fees should I check before buying an ETF?,sample-a1031,,,,,,
Q11,Which fees should I check before buying an ETF?,sample-a1033,,,,,,
Q11,Which fees should I check before buying an ETF?,sample-a1039,,,,,,
Q11,Which fees should I check before buying an ETF?,sample-a1040,,,,,,
Q11,Which fees should I check before buying an ETF?,sample-a1041,,,,,,
Q11,Which fees should I check before buying an ETF?,sample-a1042,,,,,,
Q12,"I think an investment might be a scam, what should I do?",sample-a1001,,,,,,
Q12,"I think an investment might be a scam, what should I do?",sample-a1003,,,,,,
Q12,"I think an investment might be a scam, what should I do?",sample-a1008,,,,,,
Q12,"I think an investment might be a scam, what should I do?",sample-a1009,,,,,,
Q12,"I think an investment might be a scam, what should I do?",sample-a1013,,,,,,
Q12,"I think an investment might be a scam, what should I do?",sample-a1016,,,,,,
Q12,"I think an investment might be a scam, what should I do?",sample-a1017,,,,,,
Q12,"I think an investment might be a scam, what should I do?",sample-a1023,,,,,,
Q12,"I think an investment might be a scam, what should I do?",sample-a1024,,,,,,
Q12,"I think an investment might be a scam, what should I do?",sample-a1025,,,,,,
Q12,"I think an investment might be a scam, what should I do?",sample-a1026,,,,,,
Q12,"I think an investment might be a scam, what should I do?",sample-a1027,,,,,,
Q12,"I think an investment might be a scam, what should I do?",sample-a1028,,,,,,
Q12,"I think an investment might be a scam, what should I do?",sample-a1042,,,,,,
Q12,"I think an investment might be a scam, what should I do?",sample-a1045,,,,,,
Q12,"I think an investment might be a scam, what should I do?",sample-a1046,,,,,,
Q13,How can I avoid investment fraud?,sample-a1005,,,,,,
Q13,How can I avoid investment fraud?,sample-a1008,,,,,,
Q13,How can I avoid investment fraud?,sample-a1013,,,,,,
Q13,How can I avoid investment fraud?,sample-a1014,,,,,,
Q13,How can I avoid investment fraud?,sample-a1015,,,,,,
Q13,How can I avoid investment fraud?,sample-a1016,,,,,,
Q13,How can I avoid investment fraud?,sample-a1017,,,,,,
Q13,How can I avoid investment fraud?,sample-a1025,,,,,,
Q13,How can I avoid investment fraud?,sample-a1026,,,,,,
Q13,How can I avoid investment fraud?,sample-a1027,,,,,,
Q13,How can I avoid investment fraud?,sample-a1028,,,,,,
Q13,How can I avoid investment fraud?,sample-a1033,,,,,,
Q13,How can I avoid investment fraud?,sample-a1034,,,,,,
Q13,How can I avoid investment fraud?,sample-a1035,,,,,,
Q13,How can I avoid investment fraud?,sample-a1038,,,,,,
Q13,How can I avoid investment fraud?,sample-a1040,,,,,,
Q13,How can I avoid investment fraud?,sample-a1042,,,,,,
Q14,Roth versus traditional retirement account,sample-a1006,,,,,,
Q14,Roth versus traditional retirement account,sample-a1009,,,,,,
Q14,Roth versus traditional retirement account,sample-a1013,,,,,,
Q14,Roth versus traditional retirement account,sample-a1014,,,,,,
Q14,Roth versus traditional retirement account,sample-a1018,,,,,,
Q14,Roth versus traditional retirement account,sample-a1029,,,,,,
Q14,Roth versus traditional retirement account,sample-a1030,,,,,,
Q14,Roth versus traditional retirement account,sample-a1031,,,,,,
Q14,Roth versus traditional retirement account,sample-a1032,,,,,,
Q14,Roth versus traditional retirement account,sample-a1033,,,,,,
Q14,Roth versus traditional retirement account,sample-a1035,,,,,,
Q14,Roth versus traditional retirement account,sample-a1037,,,,,,
Q14,Roth versus traditional retirement account,sample-a1039,,,,,,
Q14,Roth versus traditional retirement account,sample-a1040,,,,,,
Q14,Roth versus traditional retirement account,sample-a1045,,,,,,
Q15,How do I raise my credit score?,sample-a1001,,,,,,
Q15,How do I raise my credit score?,sample-a1002,,,,,,
Q15,How do I raise my credit score?,sample-a1003,,,,,,
Q15,How do I raise my credit score?,sample-a1004,,,,,,
Q15,How do I raise my credit score?,sample-a1005,,,,,,
Q15,How do I raise my credit score?,sample-a1009,,,,,,
Q15,How do I raise my credit score?,sample-a1013,,,,,,
Q15,How do I raise my credit score?,sample-a1027,,,,,,
Q15,How do I raise my credit score?,sample-a1028,,,,,,
Q15,How do I raise my credit score?,sample-a1033,,,,,,
Q15,How do I raise my credit score?,sample-a1034,,,,,,
Q15,How do I raise my credit score?,sample-a1035,,,,,,
Q15,How do I raise my credit score?,sample-a1036,,,,,,
Q15,How do I raise my credit score?,sample-a1042,,,,,,
Q15,How do I raise my credit score?,sample-a1046,,,,,,
Q16,What credit card utilisation is healthy?,sample-a1001,,,,,,
Q16,What credit card utilisation is healthy?,sample-a1002,,,,,,
Q16,What credit card utilisation is healthy?,sample-a1003,,,,,,
Q16,What credit card utilisation is healthy?,sample-a1004,,,,,,
Q16,What credit card utilisation is healthy?,sample-a1005,,,,,,
Q16,What credit card utilisation is healthy?,sample-a1010,,,,,,
Q16,What credit card utilisation is healthy?,sample-a1016,,,,,,
Q16,What credit card utilisation is healthy?,sample-a1024,,,,,,
Q16,What credit card utilisation is healthy?,sample-a1025,,,,,,
Q16,What credit card utilisation is healthy?,sample-a1033,,,,,,
Q16,What credit card utilisation is healthy?,sample-a1034,,,,,,
Q16,What credit card utilisation is healthy?,sample-a1035,,,,,,
Q16,What credit card utilisation is healthy?,sample-a1036,,,,,,
Q17,Should I hold cash or short term bonds for savings?,sample-a1006,,,,,,
Q17,Should I hold cash or short term bonds for savings?,sample-a1008,,,,,,
Q17,Should I hold cash or short term bonds for savings?,sample-a1009,,,,,,
Q17,Should I hold cash or short term bonds for savings?,sample-a1012,,,,,,
Q17,Should I hold cash or short term bonds for savings?,sample-a1013,,,,,,
Q17,Should I hold cash or short term bonds for savings?,sample-a1014,,,,,,
Q17,Should I hold cash or short term bonds for savings?,sample-a1016,,,,,,
Q17,Should I hold cash or short term bonds for savings?,sample-a1017,,,,,,
Q17,Should I hold cash or short term bonds for savings?,sample-a1018,,,,,,
Q17,Should I hold cash or short term bonds for savings?,sample-a1022,,,,,,
Q17,Should I hold cash or short term bonds for savings?,sample-a1030,,,,,,
Q17,Should I hold cash or short term bonds for savings?,sample-a1037,,,,,,
Q17,Should I hold cash or short term bonds for savings?,sample-a1038,,,,,,
Q17,Should I hold cash or short term bonds for savings?,sample-a1039,,,,,,
Q17,Should I hold cash or short term bonds for savings?,sample-a1044,,,,,,
Q17,Should I hold cash or short term bonds for savings?,sample-a1045,,,,,,
Q18,Should I overpay my mortgage or invest the money?,sample-a1008,,,,,,
Q18,Should I overpay my mortgage or invest the money?,sample-a1009,,,,,,
Q18,Should I overpay my mortgage or invest the money?,sample-a1010,,,,,,
Q18,Should I overpay my mortgage or invest the money?,sample-a1012,,,,,,
Q18,Should I overpay my mortgage or invest the money?,sample-a1013,,,,,,
Q18,Should I overpay my mortgage or invest the money?,sample-a1018,,,,,,
Q18,Should I overpay my mortgage or invest the money?,sample-a1019,,,,,,
Q18,Should I overpay my mortgage or invest the money?,sample-a1020,,,,,,
Q18,Should I overpay my mortgage or invest the money?,sample-a1025,,,,,,
Q18,Should I overpay my mortgage or invest the money?,sample-a1038,,,,,,
Q18,Should I overpay my mortgage or invest the money?,sample-a1041,,,,,,
Q18,Should I overpay my mortgage or invest the money?,sample-a1042,,,,,,
Q18,Should I overpay my mortgage or invest the money?,sample-a1043,,,,,,
Q18,Should I overpay my mortgage or invest the money?,sample-a1044,,,,,,
