doc_id,answer_id,question_id,title,question_body,answer_body,tags,answer_score,accepted_answer,comment_count,question_view_count,answer_count,owner_user_id,question_owner_user_id,commenter_user_ids,author_reputation,creation_date,last_activity_date,source,url,aspect,combined_text,age_days
sample-a1001,1001,501,Should I pay off credit card debt before investing?,Community question about should i pay off credit card debt before investing?,Pay off high-interest credit card debt before investing. A guaranteed ~20% avoided interest usually beats uncertain market returns.,credit-card debt investing,37,False,1,12747,3,303,402,402,35000,2025-04-15 00:00:00+00:00,2025-04-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/501#answer-1001,debt,Should I pay off credit card debt before investing? Community question about should i pay off credit card debt before investing? Pay off high-interest credit card debt before investing. A guaranteed ~20% avoided interest usually beats uncertain market returns. credit-card debt investing,414
sample-a1002,1002,501,Should I pay off credit card debt before investing?,Community question about should i pay off credit card debt before investing?,"Contribute enough to capture any employer match, then prioritise the card balance and a small emergency buffer.",credit-card debt investing,15,False,1,12747,3,309,402,402,9000,2022-04-15 00:00:00+00:00,2022-04-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/501#answer-1002,debt,"Should I pay off credit card debt before investing? Community question about should i pay off credit card debt before investing? Contribute enough to capture any employer match, then prioritise the card balance and a small emergency buffer. credit-card debt investing",1510
sample-a1003,1003,501,Should I pay off credit card debt before investing?,Community question about should i pay off credit card debt before investing?,"Compare the card APR with your expected after-tax return. Above roughly 8-10% APR, paying the debt almost always wins.",credit-card debt investing,43,True,8,12747,3,302,402,402 301,38000,2025-02-15 00:00:00+00:00,2025-02-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/501#answer-1003,debt,"Should I pay off credit card debt before investing? Community question about should i pay off credit card debt before investing? Compare the card APR with your expected after-tax return. Above roughly 8-10% APR, paying the debt almost always wins. credit-card debt investing",473
sample-a1004,1004,502,How do I get out of credit card debt fastest?,Community question about how do i get out of credit card debt fastest?,"List balances, attack the highest APR first (avalanche), and stop new charges while you repay.",credit-card debt budgeting,48,True,0,11249,2,302,403,,38000,2024-07-15 00:00:00+00:00,2024-07-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/502#answer-1004,debt,"How do I get out of credit card debt fastest? Community question about how do i get out of credit card debt fastest? List balances, attack the highest APR first (avalanche), and stop new charges while you repay. credit-card debt budgeting",688
sample-a1005,1005,502,How do I get out of credit card debt fastest?,Community question about how do i get out of credit card debt fastest?,The snowball method (smallest balance first) can help motivation even if it costs slightly more interest.,credit-card debt budgeting,24,False,8,11249,2,303,403,403 301 302,35000,2025-11-15 00:00:00+00:00,2025-11-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/502#answer-1005,debt,How do I get out of credit card debt fastest? Community question about how do i get out of credit card debt fastest? The snowball method (smallest balance first) can help motivation even if it costs slightly more interest. credit-card debt budgeting,200
sample-a1006,1006,503,How much emergency fund should I keep?,Community question about how much emergency fund should i keep?,"Three to six months of essential expenses, kept liquid in a high-yield savings account, not in volatile assets.",emergency-fund saving budgeting,23,False,8,32405,2,303,404,404 301,35000,2025-01-15 00:00:00+00:00,2025-01-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/503#answer-1006,saving,"How much emergency fund should I keep? Community question about how much emergency fund should i keep? Three to six months of essential expenses, kept liquid in a high-yield savings account, not in volatile assets. emergency-fund saving budgeting",504
sample-a1007,1007,503,How much emergency fund should I keep?,Community question about how much emergency fund should i keep?,"If your income is irregular or your job is unstable, target the higher end of the range.",emergency-fund saving budgeting,47,True,7,32405,2,302,404,404 303,38000,2024-08-15 00:00:00+00:00,2024-08-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/503#answer-1007,saving,"How much emergency fund should I keep? Community question about how much emergency fund should i keep? If your income is irregular or your job is unstable, target the higher end of the range. emergency-fund saving budgeting",657
sample-a1008,1008,504,Where should I keep my emergency savings?,Community question about where should i keep my emergency savings?,"Safety and liquidity first: high-yield savings or short Treasury bills, not equities you may have to sell at a loss.",saving emergency-fund risk,21,False,3,24280,2,305,405,405 301 302,19000,2025-08-15 00:00:00+00:00,2025-08-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/504#answer-1008,saving,"Where should I keep my emergency savings? Community question about where should i keep my emergency savings? Safety and liquidity first: high-yield savings or short Treasury bills, not equities you may have to sell at a loss. saving emergency-fund risk",292
sample-a1009,1009,504,Where should I keep my emergency savings?,Community question about where should i keep my emergency savings?,"Split it: one month in checking for instant access, the rest in a high-yield account.",saving emergency-fund risk,52,True,7,24280,2,301,405,405 302,41000,2022-09-15 00:00:00+00:00,2022-09-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/504#answer-1009,saving,"Where should I keep my emergency savings? Community question about where should i keep my emergency savings? Split it: one month in checking for instant access, the rest in a high-yield account. saving emergency-fund risk",1357
sample-a1010,1010,505,Is it better to rent or buy a house?,Community question about is it better to rent or buy a house?,"Compare unrecoverable costs: rent vs mortgage interest, taxes, insurance, maintenance and transaction costs. Buying is not automatically better.",mortgage rent buy housing,55,True,0,40044,2,301,406,,41000,2025-10-15 00:00:00+00:00,2025-10-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/505#answer-1010,mortgage,"Is it better to rent or buy a house? Community question about is it better to rent or buy a house? Compare unrecoverable costs: rent vs mortgage interest, taxes, insurance, maintenance and transaction costs. Buying is not automatically better. mortgage rent buy housing",231
sample-a1011,1011,505,Is it better to rent or buy a house?,Community question about is it better to rent or buy a house?,Use a rent-vs-buy calculator and stress-test it against moving within five years.,mortgage rent buy housing,26,False,5,40044,2,306,406,406 303 302,17000,2025-08-15 00:00:00+00:00,2025-08-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/505#answer-1011,mortgage,Is it better to rent or buy a house? Community question about is it better to rent or buy a house? Use a rent-vs-buy calculator and stress-test it against moving within five years. mortgage rent buy housing,292
sample-a1012,1012,506,Should I refinance my mortgage?,Community question about should i refinance my mortgage?,Refinance when interest savings exceed closing costs and you will keep the loan past the break-even point.,mortgage refinance interest-rate,27,False,1,25690,2,314,407,407,900,2025-10-15 00:00:00+00:00,2025-10-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/506#answer-1012,mortgage,Should I refinance my mortgage? Community question about should i refinance my mortgage? Refinance when interest savings exceed closing costs and you will keep the loan past the break-even point. mortgage refinance interest-rate,231
sample-a1013,1013,506,Should I refinance my mortgage?,Community question about should i refinance my mortgage?,Watch the term reset: lowering the rate but restarting 30 years can raise total interest paid.,mortgage refinance interest-rate,56,True,4,25690,2,301,407,407 303 302,41000,2025-06-15 00:00:00+00:00,2025-06-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/506#answer-1013,mortgage,Should I refinance my mortgage? Community question about should i refinance my mortgage? Watch the term reset: lowering the rate but restarting 30 years can raise total interest paid. mortgage refinance interest-rate,353
sample-a1014,1014,507,How are capital gains taxed?,Community question about how are capital gains taxed?,"It depends on holding period, income, jurisdiction and cost basis. Separate short-term from long-term and keep records.",tax capital-gains investing,45,True,7,48037,2,301,408,408 303,41000,2024-03-15 00:00:00+00:00,2024-03-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/507#answer-1014,tax,"How are capital gains taxed? Community question about how are capital gains taxed? It depends on holding period, income, jurisdiction and cost basis. Separate short-term from long-term and keep records. tax capital-gains investing",810
sample-a1015,1015,507,How are capital gains taxed?,Community question about how are capital gains taxed?,"Losses can offset gains, but wash-sale rules and local law change the result; consult a professional for large trades.",tax capital-gains investing,27,False,6,48037,2,303,408,408 302,35000,2022-03-15 00:00:00+00:00,2022-03-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/507#answer-1015,tax,"How are capital gains taxed? Community question about how are capital gains taxed? Losses can offset gains, but wash-sale rules and local law change the result; consult a professional for large trades. tax capital-gains investing",1541
sample-a1016,1016,508,What records do I need for investment taxes?,Community question about what records do i need for investment taxes?,"Keep trade confirmations, cost basis, dividend statements and broker 1099s; reconstruct basis before you sell.",tax investing capital-gains,54,True,8,16973,2,302,409,409 303,38000,2024-11-15 00:00:00+00:00,2024-11-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/508#answer-1016,tax,"What records do I need for investment taxes? Community question about what records do i need for investment taxes? Keep trade confirmations, cost basis, dividend statements and broker 1099s; reconstruct basis before you sell. tax investing capital-gains",565
sample-a1017,1017,508,What records do I need for investment taxes?,Community question about what records do i need for investment taxes?,"Most brokers track basis now, but verify it for transferred or inherited positions.",tax investing capital-gains,25,False,3,16973,2,311,409,409 301 303,5000,2023-03-15 00:00:00+00:00,2023-03-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/508#answer-1017,tax,"What records do I need for investment taxes? Community question about what records do i need for investment taxes? Most brokers track basis now, but verify it for transferred or inherited positions. tax investing capital-gains",1176
sample-a1018,1018,509,Should I invest in ETFs or individual stocks?,Community question about should i invest in etfs or individual stocks?,"For most investors, diversified low-cost ETFs cut idiosyncratic risk and need less monitoring than single stocks.",etf stocks investing diversification,47,True,4,46608,3,301,410,410 302,41000,2023-07-15 00:00:00+00:00,2023-07-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/509#answer-1018,investing,"Should I invest in ETFs or individual stocks? Community question about should i invest in etfs or individual stocks? For most investors, diversified low-cost ETFs cut idiosyncratic risk and need less monitoring than single stocks. etf stocks investing diversification",1054
sample-a1019,1019,509,Should I invest in ETFs or individual stocks?,Community question about should i invest in etfs or individual stocks?,"Individual stocks can fit if you understand concentration risk, position sizing and the tax consequences.",etf stocks investing diversification,38,False,5,46608,3,302,410,410 303,38000,2023-12-15 00:00:00+00:00,2023-12-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/509#answer-1019,investing,"Should I invest in ETFs or individual stocks? Community question about should i invest in etfs or individual stocks? Individual stocks can fit if you understand concentration risk, position sizing and the tax consequences. etf stocks investing diversification",901
sample-a1020,1020,509,Should I invest in ETFs or individual stocks?,Community question about should i invest in etfs or individual stocks?,A core ETF portfolio plus a small satellite of stocks is a common compromise.,etf stocks investing diversification,38,False,9,46608,3,301,410,410 303,41000,2024-11-15 00:00:00+00:00,2024-11-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/509#answer-1020,investing,Should I invest in ETFs or individual stocks? Community question about should i invest in etfs or individual stocks? A core ETF portfolio plus a small satellite of stocks is a common compromise. etf stocks investing diversification,565
sample-a1021,1021,510,Is dollar cost averaging better than lump sum?,Community question about is dollar cost averaging better than lump sum?,"Historically lump sum has a higher expected return, but averaging reduces timing risk and regret.",investing dollar-cost-averaging risk,45,True,7,33829,2,301,411,411 303 302,41000,2022-04-15 00:00:00+00:00,2022-04-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/510#answer-1021,investing,"Is dollar cost averaging better than lump sum? Community question about is dollar cost averaging better than lump sum? Historically lump sum has a higher expected return, but averaging reduces timing risk and regret. investing dollar-cost-averaging risk",1510
sample-a1022,1022,510,Is dollar cost averaging better than lump sum?,Community question about is dollar cost averaging better than lump sum?,"If the money is already in cash, averaging it in over a few months is a reasonable behavioural compromise.",investing dollar-cost-averaging risk,24,False,3,33829,2,301,411,411 302,41000,2022-06-15 00:00:00+00:00,2022-06-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/510#answer-1022,investing,"Is dollar cost averaging better than lump sum? Community question about is dollar cost averaging better than lump sum? If the money is already in cash, averaging it in over a few months is a reasonable behavioural compromise. investing dollar-cost-averaging risk",1449
sample-a1023,1023,511,What fees matter when choosing an ETF?,Community question about what fees matter when choosing an etf?,"Expense ratio first, then bid-ask spread, tracking error and any platform commission.",etf investing fees,21,False,8,45144,2,304,412,412 301 302,22000,2025-01-15 00:00:00+00:00,2025-01-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/511#answer-1023,investing,"What fees matter when choosing an ETF? Community question about what fees matter when choosing an etf? Expense ratio first, then bid-ask spread, tracking error and any platform commission. etf investing fees",504
sample-a1024,1024,511,What fees matter when choosing an ETF?,Community question about what fees matter when choosing an etf?,A 0.5% vs 0.05% expense ratio compounds into a large gap over decades.,etf investing fees,44,True,3,45144,2,301,412,412 303 302,41000,2023-11-15 00:00:00+00:00,2023-11-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/511#answer-1024,investing,What fees matter when choosing an ETF? Community question about what fees matter when choosing an etf? A 0.5% vs 0.05% expense ratio compounds into a large gap over decades. etf investing fees,931
sample-a1025,1025,512,What should I do if I think an investment is a scam?,Community question about what should i do if i think an investment is a scam?,"Stop sending money, preserve all records, verify registration with the regulator, and report the suspected fraud.",scam fraud risk investing,43,True,1,39073,2,303,413,413,35000,2024-08-15 00:00:00+00:00,2024-08-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/512#answer-1025,risk,"What should I do if I think an investment is a scam? Community question about what should i do if i think an investment is a scam? Stop sending money, preserve all records, verify registration with the regulator, and report the suspected fraud. scam fraud risk investing",657
